time, dev, qdisc, handle, parent, bytes, packets, qlen, drops
1570216606.527445, wlp3s0, mq, none, root, 95945, 834, 0, 0
1570216606.527445, wlp3s0, pfifo_fast, none, :4, 0, 0, 0, 0
1570216606.527445, wlp3s0, pfifo_fast, none, :3, 95363, 828, 0, 0
1570216606.527445, wlp3s0, pfifo_fast, none, :2, 0, 0, 0, 0
1570216606.527445, wlp3s0, pfifo_fast, none, :1, 582, 6, 0, 0
1570216606.528460, wlp3s0, mq, none, root, 95945, 834, 0, 0
1570216606.528460, wlp3s0, pfifo_fast, none, :4, 0, 0, 0, 0
1570216606.528460, wlp3s0, pfifo_fast, none, :3, 95363, 828, 0, 0
1570216606.528460, wlp3s0, pfifo_fast, none, :2, 0, 0, 0, 0
1570216606.528460, wlp3s0, pfifo_fast, none, :1, 582, 6, 0, 0